normRMSH;normCurv;gammaNorm;muT;normPullOff
0.111252;14.4379;0.0146829;0.228444;0.000797944
0.0571939;115.115;0.161002;0.219621;0.0578086
0.0571939;115.115;0.161002;0.219621;0.0578086
0.0858638;25.5193;0.0186627;0.22839;0.000512134
0.0546609;136.9;0.0710476;0.410442;0.000417414
0.031083;1361.28;0.0820883;0.227693;0.000461805
0.0431201;351.745;0.212142;0.44582;0.000659068
0.11252;14.543;0.0239835;5.51186;1.18E-05
0.0624596;82.1959;0.0870849;0.25094;0.00242235
0.0603441;93.1873;0.726472;0.29192;0.0850032
0.0728313;48.9065;0.406599;0.380396;0.026338
0.148825;8.50159;0.0223311;0.200971;0.000780023
0.0361365;688.873;0.250574;48.9239;4.63E-07
0.149003;8.55805;0.494568;0.213176;0.234374
0.0893797;26.2418;0.412709;0.581085;0.00472322
0.225079;5.09501;0.0599418;0.897368;0.00131854
0.159155;6.28318;0.00962906;0.586149;0.000657901
0.07287;48.9235;1.04108;12.3779;0.000139523
0.0858638;25.5193;0.0235687;0.803529;0.000106496
0.0728613;48.9194;0.34945;2.35536;2.35E-05
0.111252;14.4379;0.298116;0.536084;0.00776718
0.0763861;36.6445;0.0222406;0.302898;0.000195412
0.148948;8.56467;0.0167335;0.57036;0.000359199
0.0507336;180.165;0.0794853;0.215332;0.00164275
0.0934685;20.0097;0.00702649;0.296426;0.00258003
0.116998;11.4114;0.013225;0.264372;0.00101587
0.0881469;26.0928;0.219173;0.596452;0.000898584
0.225373;5.12003;0.0399667;0.333254;8.58E-05
0.0507336;180.165;0.0242744;0.445085;0.000293048
0.071857;48.7914;0.163317;0.736735;0.00031165
0.0728313;48.9065;0.0528693;2.93063;1.30E-05
0.0618243;82.1071;0.0120772;0.635417;2.65E-05
0.111252;14.4379;0.00736151;0.387079;0.000254503
0.0881469;26.0928;0.071871;0.264671;0.000991991
0.0726127;48.8908;0.12485;7.98327;1.89E-05
0.0893797;26.2418;0.425333;1.31358;0.000613796
0.0684963;60.0757;0.367901;1.85316;0.000486921
0.0682947;60.0486;0.0151369;0.445262;0.000101928
0.070385;48.0656;0.0184161;1.56668;7.61E-05
0.0603443;93.1872;0.267668;0.260667;0.00530043
0.112846;14.5991;0.793725;0.331424;0.208771
0.0763861;36.6445;0.0142291;0.496266;0.000114884
0.159155;6.28316;0.0246765;0.743793;0.00217758
0.0602461;93.1343;0.165156;5.06183;0.00020062
0.0495564;178.935;0.0384703;0.286241;0.00056909
0.060543;93.2243;0.702353;0.260624;0.0982479
0.0726127;48.8908;0.00113126;0.599025;4.92E-05
0.096885;20.1975;0.00615957;0.209616;0.00136422
0.11252;14.543;0.0639456;0.788986;0.000606553
0.0385134;519.821;0.271461;0.221757;0.00256627
0.12333;11.5759;0.0452586;0.226731;0.000712094
0.0780492;37.4363;0.163857;2.18346;4.96E-05
0.0597378;93.0765;0.0167342;0.207696;0.000293046
0.0728675;48.9193;0.318593;0.791352;0.00204203
0.0477141;223.14;0.108058;0.879345;6.16E-05
0.0890797;26.2221;0.181531;2.55228;5.33E-05
0.0365916;691.066;0.100826;3.62842;4.56E-06
0.0889824;26.1263;0.0507825;0.267043;0.000605944
0.0624596;82.1959;0.142982;1.56925;7.77E-05
0.159155;6.28318;0.0147377;0.232373;0.00525253
0.148825;8.50159;0.0935782;0.208613;0.000717231
0.040118;435.011;0.0304847;0.423191;0.000207135
0.111252;14.4379;0.0194951;0.778489;7.44E-05
0.225959;5.10703;0.10912;0.463897;0.000335834
0.149189;8.53677;0.238544;0.652993;0.00285272
0.0605012;93.2157;0.272462;0.485465;0.00120716
0.0511569;157.421;0.0710621;0.383483;0.000143323
0.146249;8.47242;0.042502;0.310295;0.00122989
0.071857;48.7916;0.531771;0.242119;0.0829679
0.0890797;26.2222;0.155147;0.421496;0.000432163
0.10696;14.0668;0.00492635;0.610594;0.000295854
0.0618243;82.1071;0.0413293;0.664381;2.39E-05
0.0626451;82.219;0.0534778;3.43385;3.05E-06
0.0586953;92.2442;0.0896244;0.279149;0.00616228
0.149003;8.56186;0.56398;3.33894;4.95E-05
0.0763861;36.6445;0.0279053;0.281878;0.000209678
0.226053;5.10666;0.412464;0.324968;0.0605853
